timestamp,id_metrica,numero_medida,valor
519851340,87,1,0
519851350,87,2,0
519851360,87,3,0
519851370,87,4,0
519851380,87,5,0
519851390,87,6,0
519851400,87,7,1
519851410,87,8,0
519851420,87,9,0
519851430,87,10,0
519851440,87,11,0
519851450,87,12,0
519851460,87,13,0
519851470,87,14,0
519851480,87,15,1
519851490,87,16,0
519851500,87,17,0
519851510,87,18,0
519851520,87,19,0
519851530,87,20,0
519851540,87,21,0
519851550,87,22,0
519851560,87,23,0
519851570,87,24,0
519851580,87,25,0
519851590,87,26,0
519851600,87,27,0
519851610,87,28,0
519851620,87,29,0
519851630,87,30,0
519851640,87,31,0
519851650,87,32,1
519851660,87,33,0
519851670,87,34,0
519851680,87,35,0
519851690,87,36,0
519851700,87,37,0
519851710,87,38,0
519851720,87,39,0
519851730,87,40,0
519851740,87,41,0
519851750,87,42,0
519851760,87,43,0
519851770,87,44,0
519851780,87,45,1
519851790,87,46,0
519851800,87,47,0
519851810,87,48,0
519851820,87,49,0
519851830,87,50,0
519851840,87,51,0
519851850,87,52,0
519851860,87,53,0
519851870,87,54,0
519851880,87,55,0
519851890,87,56,0
519851900,87,57,0
519851910,87,58,0
519851920,87,59,0
519851930,87,60,0
519851940,87,61,0
519851950,87,62,0
519851960,87,63,0
519851970,87,64,1
519851980,87,65,1
519851990,87,66,1
519852000,87,67,0
519852010,87,68,0
519852020,87,69,0
519852030,87,70,0
519852040,87,71,0
519852050,87,72,0
519852060,87,73,0
519852070,87,74,0
519852080,87,75,0
519852090,87,76,0
519852100,87,77,0
519852110,87,78,0
519852120,87,79,0
519852130,87,80,0
519852140,87,81,1
519852150,87,82,0
519852160,87,83,0
519852170,87,84,0
519852180,87,85,0
519852190,87,86,1
519852200,87,87,0
519852210,87,88,0
519852220,87,89,0
519852230,87,90,0
519852240,87,91,0
519852250,87,92,0
519852260,87,93,1
519852270,87,94,0
519852280,87,95,0
519852290,87,96,0
519852300,87,97,0
519852310,87,98,0
519852320,87,99,0
519852330,87,100,0
519852340,87,101,0
519852350,87,102,0
519852360,87,103,0
519852370,87,104,0
519852380,87,105,0
519852390,87,106,0
519852400,87,107,0
519852410,87,108,0
519852420,87,109,0
519852430,87,110,0
519852440,87,111,0
519852450,87,112,0
519852460,87,113,0
519852470,87,114,0
519852480,87,115,0
519852490,87,116,0
519852500,87,117,0
519852510,87,118,0
519852520,87,119,0
519852530,87,120,0
519852540,87,121,0
519852550,87,122,0
519852560,87,123,0
519852570,87,124,0
519852580,87,125,0
519852590,87,126,0
519852600,87,127,0
519852610,87,128,0
519852620,87,129,0
519852630,87,130,0
519852640,87,131,0
519852650,87,132,0
519852660,87,133,0
519852670,87,134,0
519852680,87,135,0
519852690,87,136,0
519852700,87,137,0
519852710,87,138,0
519852720,87,139,1
519852730,87,140,0
519852740,87,141,0
519852750,87,142,0
519852760,87,143,0
519852770,87,144,0
519852780,87,145,0
519852790,87,146,0
519852800,87,147,0
519852810,87,148,0
519852820,87,149,0
519852830,87,150,0
519852840,87,151,0
519852850,87,152,1
519852860,87,153,0
519852870,87,154,0
519852880,87,155,0
519852890,87,156,0
519852900,87,157,0
519852910,87,158,0
519852920,87,159,1
519852930,87,160,0
519852940,87,161,0
519852950,87,162,0
519852960,87,163,0
519852970,87,164,0
519852980,87,165,0
519852990,87,166,0
519853000,87,167,0
519853010,87,168,0
519853020,87,169,0
519853030,87,170,0
519853040,87,171,0
519853050,87,172,0
519853060,87,173,0
519853070,87,174,0
519853080,87,175,0
519853090,87,176,0
519853100,87,177,0
519853110,87,178,0
519853120,87,179,0
519853130,87,180,0
519853140,87,181,0
519853150,87,182,0
519853160,87,183,0
519853170,87,184,0
519853180,87,185,0
519853190,87,186,0
519853200,87,187,0
519853210,87,188,0
519853220,87,189,0
519853230,87,190,0
519853240,87,191,0
519853250,87,192,0
519853260,87,193,0
519853270,87,194,0
519853280,87,195,0
519853290,87,196,0
519853300,87,197,0
519853310,87,198,0
519853320,87,199,0
519853330,87,200,0
519853340,87,201,0
519853350,87,202,0
519853360,87,203,0
519853370,87,204,1
519853380,87,205,0
519853390,87,206,1
519853400,87,207,0
519853410,87,208,0
519853420,87,209,0
519853430,87,210,0
519853440,87,211,1
519853450,87,212,0
519853460,87,213,0
519853470,87,214,0
519853480,87,215,0
519853490,87,216,0
519853500,87,217,0
519853510,87,218,0
519853520,87,219,0
519853530,87,220,0
519853540,87,221,0
519853550,87,222,0
519853560,87,223,0
519853570,87,224,0
519853580,87,225,0
519853590,87,226,0
519853600,87,227,0
519853610,87,228,1
519853620,87,229,0
519853630,87,230,0
519853640,87,231,0
519853650,87,232,0
519853660,87,233,0
519853670,87,234,0
519853680,87,235,1
519853690,87,236,0
519853700,87,237,0
519853710,87,238,0
519853720,87,239,0
519853730,87,240,0
519853740,87,241,0
519853750,87,242,1
519853760,87,243,0
519853770,87,244,0
519853780,87,245,0
519853790,87,246,0
519853800,87,247,0
519853810,87,248,0
519853820,87,249,0
